"id","geom"
201,POINT (377138.7353630916 4065868.58147656)
202,POINT (441440.9772193389 4102873.277959784)
203,POINT (336777.34893403767 4053165.9443106977)
204,POINT (371884.17327312485 4140974.8083360647)
205,POINT (431797.79071712535 4201649.962147549)
206,POINT (215934.65458697872 4048318.6256739674)
207,POINT (445516.2025424663 4094248.0931572085)
208,POINT (221251.31350055285 4056879.113981353)
209,POINT (276402.7584463197 4104007.2563496865)
210,POINT (222995.97877391652 4056624.077594689)
211,POINT (151940.8206947293 4135419.762367892)
212,POINT (227034.29623145028 4169215.661176881)
213,POINT (155146.31718071853 4123008.815164739)
214,POINT (339500.9831633003 4146559.2147202804)
215,POINT (564229.3551441887 4135103.5026744315)
216,POINT (448558.9141761091 4114585.9304472296)
217,POINT (577268.8462356832 4089904.410081693)
218,POINT (255438.45293970234 4003390.268776361)
219,POINT (573845.8993216981 4137552.7974491026)
220,POINT (262223.39040108304 4109447.023025187)
221,POINT (230643.7365718069 4039684.3709987537)
222,POINT (594215.4578990593 4093568.8320324426)
223,POINT (283316.1709568004 4009271.6922906614)
224,POINT (352842.1786890064 4129012.827771757)
225,POINT (217816.19460228647 4046104.7314280854)
226,POINT (217062.96948823569 4064241.66613634)
227,POINT (347690.55047228077 4082445.878347374)
228,POINT (245499.4688682495 4144493.3300377964)
229,POINT (361027.3674049329 4141008.663057826)
230,POINT (150040.87929769122 4130032.820608364)
231,POINT (449088.41134632117 4113293.90990331)
232,POINT (429529.0922032214 4183867.2970741945)
233,POINT (368626.7172164865 4065922.5645213192)
234,POINT (372850.35213034245 4066688.694842125)
235,POINT (343165.1157093336 4190786.8057540883)
236,POINT (237926.46651448455 4138466.45714636)
237,POINT (596076.7332452417 4093702.5556265223)
238,POINT (508637.6646074185 4243803.508889135)
239,POINT (245513.5663419312 4148010.311874307)
240,POINT (343551.5305836827 4124565.499009247)
241,POINT (231299.74504453107 4141440.4525347976)
242,POINT (236609.00520384818 4134156.5319399796)
243,POINT (523404.94155682676 4093862.7025202713)
244,POINT (566878.2176268314 4101547.4726291425)
245,POINT (308720.25670950225 4155491.795619431)
246,POINT (220901.11326946793 4034658.6055834577)
247,POINT (230876.84750187796 4178663.4423127696)
248,POINT (223461.68302679303 4162083.06466567)
249,POINT (500428.5609323755 4223754.776427319)
250,POINT (126559.06162586522 4131766.216799995)
251,POINT (344898.5295428311 4196882.541278671)
252,POINT (436218.1944213311 4124776.344435484)
253,POINT (233498.00931354042 4136960.294147049)
254,POINT (239323.834421896 4134502.828744094)
255,POINT (342249.83439697785 4144790.7422147235)
256,POINT (235235.6585250182 4146624.3775158697)
257,POINT (401753.2927923488 4163828.6216332926)
258,POINT (369705.3033574255 4062172.089110486)
259,POINT (127203.78022450564 4130839.293233315)
260,POINT (230282.91715507745 4184428.735181944)
261,POINT (444892.5486100695 4114609.706497553)
262,POINT (115873.71493529182 4164211.846428815)
263,POINT (461224.30909970426 4106576.552316208)
264,POINT (413032.75655592437 4209513.850216786)
265,POINT (372683.21495198377 4065388.5912948023)
266,POINT (316871.3405164349 4164621.2786601544)
267,POINT (225737.99675890696 4138938.5493914126)
268,POINT (213354.0699005612 4140748.62512321)
269,POINT (143189.69652644545 4138535.2597837243)
270,POINT (241469.44646146387 4079134.8274961105)
271,POINT (234668.87070565764 4192229.371144997)
272,POINT (284708.4079142889 4041092.6958659743)
273,POINT (460447.2766922956 4082398.8056143075)
274,POINT (261690.90392075354 4142048.421673306)
275,POINT (596716.8026719631 4098028.699693003)
276,POINT (357583.1274151068 4167479.035749506)
277,POINT (298522.2113520951 4179553.6068126657)
278,POINT (367264.75120908936 4142502.508890451)
279,POINT (313318.4124682823 4142400.88672946)
280,POINT (438275.9881151525 4120139.9294459987)
281,POINT (343139.16402230883 4195767.9280148335)
282,POINT (238120.63330263115 4134174.7368353447)
283,POINT (363549.6936033697 4053075.956116546)
284,POINT (149482.71207123695 4142256.163080031)
285,POINT (251828.00809010235 4136660.8457966475)
286,POINT (370516.4001738006 4141207.2784237885)
287,POINT (151499.5706663501 4124746.484122706)
288,POINT (353851.7823334772 4045755.228650364)
289,POINT (437261.86170424963 4124499.3088993174)
290,POINT (550048.9835551663 4079744.5111356303)
291,POINT (501097.03217155574 4225109.201289552)
292,POINT (444428.757334419 4180948.7063092003)
293,POINT (264366.0185993405 4167167.0411250023)
294,POINT (515309.76571275527 4156041.8271915927)
295,POINT (189859.62044782692 4148740.147087805)
296,POINT (216571.90591132827 4082402.267710037)
297,POINT (371754.50527855253 4157882.2001978033)
298,POINT (360760.9267044693 4056493.0376616977)
299,POINT (312772.15838740935 4186454.178474354)
300,POINT (351839.24753888836 4126079.095112233)
301,POINT (246848.42419933865 4121625.6004014984)
302,POINT (284277.2112710864 4008698.447183567)
303,POINT (527568.3090119604 4072260.873073317)
304,POINT (150645.20502750404 4129193.406170929)
305,POINT (219986.96939833573 4041860.2667475604)
306,POINT (220952.40766450754 4064489.609662299)
307,POINT (465886.9134199043 4208183.848511792)
308,POINT (223866.38149067876 4149487.8063141615)
309,POINT (326999.27190645464 4052023.9280640604)
310,POINT (341858.3866085817 4090914.734065477)
311,POINT (228212.1794495819 4177278.965790193)
312,POINT (307097.1067594702 4037763.7055770536)
313,POINT (247138.21313573496 4141629.8598231287)
314,POINT (256245.71454671238 4160065.587249273)
315,POINT (240813.3145265487 4081869.1041368907)
316,POINT (386942.08039729984 4210017.154239212)
317,POINT (369498.84336670703 4202969.762676865)
318,POINT (214784.27899882433 4055441.4331552708)
319,POINT (354717.7034267193 4077917.8116960856)
320,POINT (336755.95873877424 4141290.135591231)
321,POINT (230277.19197619977 4056369.382229778)
322,POINT (237897.8038926098 4140763.3321309187)
323,POINT (319427.0097718207 4041460.5556735704)
324,POINT (207344.82237909816 4153185.23241685)
325,POINT (269031.86823357915 3991600.0634653196)
326,POINT (228302.24322219 4158889.5370801804)
327,POINT (347629.9002930015 4137839.9588019922)
328,POINT (114186.30133359297 4164310.405144483)
329,POINT (315147.3417282844 4186923.6388999964)
330,POINT (540207.3453290503 4183435.4311091388)
331,POINT (286734.02470066 4010814.7117009345)
332,POINT (532081.1145462827 4064559.856949305)
333,POINT (448295.03564391163 4212760.6448698845)
334,POINT (231237.0464667131 4017859.566486155)
335,POINT (533416.6279656924 4076734.3855432807)
336,POINT (316947.9186019266 4173837.205502292)
337,POINT (373607.7317533667 4206572.773609857)
338,POINT (521095.3178841924 4149787.2489112644)
339,POINT (205906.73418212103 4154677.887315504)
340,POINT (469223.9092386249 4130461.8430365324)
341,POINT (160832.0131005904 4125767.849383202)
342,POINT (263146.97289112787 4082084.8601746815)
343,POINT (345579.6493004763 4082095.81708501)
344,POINT (224991.80663964417 4167684.6258990243)
345,POINT (305168.4945980177 4037922.4331175745)
346,POINT (221035.16714731036 4061198.3782547815)
347,POINT (150149.9690303999 4127830.386119331)
348,POINT (140688.52119489427 4127657.4480550806)
349,POINT (355966.14175313053 4069291.6837590775)
350,POINT (360750.77892573725 4059434.2603337783)
351,POINT (235597.75731418873 4133801.9629121455)
352,POINT (229017.59450577816 4146427.717803946)
353,POINT (202210.39599319705 4058798.267231181)
354,POINT (403313.5967149698 4068222.891091778)
355,POINT (372753.19800611224 4110391.26091781)
356,POINT (236916.39458167178 4153970.4064447996)
357,POINT (229889.03108297542 4042745.703548379)
358,POINT (331735.38021065685 4063741.512151946)
359,POINT (603326.1063107813 4112623.4184645764)
360,POINT (244201.69143413423 4062904.207240821)
361,POINT (442680.41009842657 4098837.9669381487)
362,POINT (211960.96660568556 4061111.7696382096)
363,POINT (353552.15367971006 4044510.206968958)
364,POINT (498226.779502921 4103305.261799356)
365,POINT (215568.1636129848 4142178.5759595176)
366,POINT (482601.1893750996 4130891.39005276)
367,POINT (266136.0300316324 3993530.449104134)
368,POINT (372778.94083802914 4160126.0224271645)
369,POINT (366223.8107351585 4066158.8712660163)
370,POINT (340865.99415666505 4195843.213805231)
371,POINT (342079.96944415325 4194675.154188307)
372,POINT (525407.6689983448 4068077.9393659295)
373,POINT (234289.50785441248 4135919.6616976038)
374,POINT (344892.60574637115 4093637.803355214)
375,POINT (331593.12742471846 4191241.248828916)
376,POINT (221043.1390872106 4117381.3646304216)
377,POINT (290311.1199206672 4020256.757691442)
378,POINT (278840.723312477 3998895.8604343007)
379,POINT (174784.71464375866 4140800.336237321)
380,POINT (222838.7318087197 4090332.3791206316)
381,POINT (301086.31687188504 4031259.773693049)
382,POINT (414242.17227475706 4188857.826212353)
383,POINT (237856.09611688918 4149080.6629168293)
384,POINT (524034.3628830802 4230690.328825923)
385,POINT (345651.18785918725 4084847.333077614)
386,POINT (492435.7578429292 4190679.642757278)
387,POINT (263267.7541565462 4029974.328681257)
388,POINT (276413.81694721367 4171528.7884886605)
389,POINT (214482.32070710775 4156470.6333581996)
390,POINT (574355.502933461 4103366.5699469107)
391,POINT (359503.40624491626 4056822.912077379)
392,POINT (365743.1689589226 4139636.1556897694)
393,POINT (446660.205548615 4119837.3266127477)
394,POINT (398078.3884597355 4067964.763752013)
395,POINT (414202.74722011515 4230312.270106494)
396,POINT (370056.1810056523 4064373.8227802804)
397,POINT (553861.729313572 4135033.5749167134)
398,POINT (595284.4301769675 4118378.008878866)
399,POINT (549160.3148763125 4080344.2491390635)
400,POINT (260411.26459328592 4206216.541568856)
401,POINT (411296.16595180746 4095661.900920404)
402,POINT (225495.2223710805 4193020.42720744)
403,POINT (534818.5614891753 4090454.8290786715)
404,POINT (369521.4092631667 4142929.0082596336)
405,POINT (230864.19960088548 4142432.8732406925)
406,POINT (301422.7829565122 4240226.059043553)
407,POINT (349557.1933134683 4197989.791820963)
408,POINT (260743.96836694423 4147273.09536926)
409,POINT (185763.49576818143 4130939.3052219474)
410,POINT (167737.18216746344 4203441.244765792)
411,POINT (260674.33468977528 4148955.956613196)
412,POINT (171232.76359118914 4178115.7915072395)
413,POINT (218158.5516796168 4026015.104182603)
414,POINT (339062.97445341654 4042550.22288928)
415,POINT (341098.67551591014 4188920.9086427083)
416,POINT (245096.1447443164 4039571.47757748)
417,POINT (236848.35984017304 4137742.3937509353)
418,POINT (224746.90925060684 4055791.6031638184)
419,POINT (234111.6533016827 4142176.050916147)
420,POINT (325925.8560871021 4175202.352188752)
421,POINT (469548.3611594721 4197811.643934534)
422,POINT (373324.63372941327 4231784.234508837)
423,POINT (346836.9843108217 4197714.284549807)
424,POINT (279072.2821032364 4009790.8385588494)
425,POINT (328757.360166883 4075382.642219058)
426,POINT (237096.24693691777 4147661.262555876)
427,POINT (356457.3108809345 4076205.7714921404)
428,POINT (410169.1001721918 4207644.141685578)
429,POINT (376948.2533044424 4126246.5734227444)
430,POINT (250581.5545695706 4025113.198129342)
431,POINT (332216.6123116071 4223156.796259106)
432,POINT (414094.1813943421 4179895.387593297)
433,POINT (230963.43905187395 4168492.5006720284)
434,POINT (232167.58720935442 4193549.667685878)
435,POINT (242120.19403894446 4132157.444267507)
436,POINT (372156.1054179399 4107334.083099293)
437,POINT (285862.6270820854 4012067.027322477)
438,POINT (318303.8326614409 4154817.1631422453)
439,POINT (315194.74125976535 4037058.6505713593)
440,POINT (448846.4773821784 4116845.4917158405)
441,POINT (183039.33044997964 4102693.184563233)
442,POINT (495235.13183521864 4121258.4433610593)
443,POINT (531369.7573498472 4109089.3250583787)
444,POINT (303406.0879418405 4032826.949391154)
445,POINT (321699.12434173765 4154682.935593014)
446,POINT (213578.91468413555 4148520.901265592)
447,POINT (237430.27622206075 4209901.383927036)
448,POINT (352152.14341428794 4139647.3107780884)
449,POINT (357607.1880069446 4178470.279369494)
450,POINT (359601.6137718481 4215063.48243064)
