"id","geom","fid"
314,POINT (322950.17365658015 4214705.069384224),315
315,POINT (367862.9196568257 4069454.695582344),316
316,POINT (345347.25214130885 4053950.9057177175),317
317,POINT (244755.80859431654 4024824.6981744855),318
318,POINT (136885.40730923673 4087414.92061663),319
319,POINT (263165.958993487 4094198.289207208),320
320,POINT (370539.28785854945 4149333.57423166),321
321,POINT (302572.4584700248 4232579.1345388675),322
322,POINT (259462.030139004 4005754.556017614),323
323,POINT (216616.95672530594 4134493.8261233508),324
324,POINT (350724.41770800494 4082638.7211003867),325
325,POINT (305632.56059222127 4171314.43185558),326
326,POINT (270788.79569308186 4008359.6136196605),327
327,POINT (589157.4010836036 4105172.4276404837),328
328,POINT (313199.5657767436 4039830.4375065374),329
329,POINT (435351.07215245627 4120624.0843650615),330
330,POINT (341549.08784310607 4190609.1782005187),331
331,POINT (234628.42883777025 4130548.0906849657),332
332,POINT (491875.23129862995 4127392.699156562),333
333,POINT (420392.5445274531 4211360.708089703),334
334,POINT (349153.02921883273 4064736.2307373723),335
335,POINT (262759.42940990004 4150809.290691534),336
336,POINT (564339.061946154 4062685.114488298),337
337,POINT (491654.67773791973 4220061.951510256),338
338,POINT (323141.680650737 4179749.214980885),339
339,POINT (300441.8589257087 4175043.069747888),340
340,POINT (352726.3775048137 4159041.0478188954),341
341,POINT (234220.2952042036 4067207.060132812),342
342,POINT (443731.08754824096 4114893.7541179904),343
343,POINT (432791.5302740492 4216997.9843060225),344
344,POINT (314387.85747784027 4040111.0937616117),345
345,POINT (251250.30395666955 4008684.3532801922),346
346,POINT (341954.8374147373 4044372.9947541505),347
347,POINT (453518.328962529 4080610.3191242567),348
348,POINT (436246.50760822726 4104219.5939101963),349
349,POINT (279640.09727088234 4244477.786815792),350
350,POINT (340035.7363238981 4194166.7087750616),351
351,POINT (517734.0965559863 4152197.0132559272),352
352,POINT (122170.04073744822 4129362.9254809227),353
353,POINT (585826.8942306057 4099717.722392775),354
354,POINT (446958.7932229458 4234846.517869504),355
355,POINT (343450.46166883165 4122393.899185233),356
356,POINT (345945.50298553664 4060766.4163343636),357
357,POINT (141428.3689160074 4100027.1055941475),358
358,POINT (437684.2245884839 4120439.485665742),359
359,POINT (346756.4028243361 4052510.630695063),360
360,POINT (253546.09870053962 4008183.446559584),361
361,POINT (281335.755408084 4009594.9322205004),362
362,POINT (428839.6195427519 4216379.716959768),363
363,POINT (360176.12920059415 4196574.5436163),364
364,POINT (345707.40443388803 4059157.1744654807),365
365,POINT (361399.83602803125 4143074.443963003),366
366,POINT (242375.3499245071 4066193.930170528),367
367,POINT (163008.38570649363 4123613.643761445),368
368,POINT (337947.0342928697 4134771.9737725793),369
369,POINT (345794.93609710154 4142955.563667999),370
370,POINT (492752.5983039418 4234180.397271887),371
371,POINT (588519.0643652887 4107059.1248860233),372
372,POINT (574986.3721949664 4054039.354394207),373
373,POINT (239828.85818703714 4067659.8166360976),374
374,POINT (247635.86379650055 4068649.0115809976),375
375,POINT (232465.83549678946 4067707.7269285913),376
376,POINT (417022.4288523291 4178655.7525750175),377
377,POINT (349413.2901180212 4076848.1491924264),378
378,POINT (351961.8748379863 4111160.9429065385),379
379,POINT (446711.7664559596 4088884.4279927905),380
380,POINT (313304.7742054738 4222502.577466247),381
381,POINT (574712.767300909 4138823.6698629693),382
382,POINT (352988.2125152051 4142731.3968585427),383
383,POINT (232126.43786783432 4141413.5331175174),384
384,POINT (439284.81299611507 4120838.595730787),385
385,POINT (498823.32262395177 4227763.228115942),386
386,POINT (255404.22949740692 4006212.0665663597),387
387,POINT (435014.3257545388 4103456.674790739),388
388,POINT (422452.94506789837 4146862.3342117746),389
389,POINT (343115.04656268563 4143742.2679102775),390
390,POINT (237015.11165718682 3980399.3393313345),391
391,POINT (353664.10232582514 4099343.0987288924),392
392,POINT (350418.24455016264 4071485.2777219852),393
393,POINT (440961.98326606955 4101839.902884034),394
394,POINT (444611.7168174132 4217051.083736116),395
395,POINT (425351.66378338315 4142474.344911117),396
396,POINT (285155.9133272726 4241874.515324064),397
397,POINT (382334.8372552338 4197431.804684272),398
398,POINT (351869.3237956952 4108537.200751013),399
399,POINT (220132.22416629718 4060096.037087983),400
400,POINT (120329.76918098924 4130817.5064964853),401
401,POINT (366118.2788946518 4138370.4420956615),402
402,POINT (349673.57219407085 4073625.1997831417),403
403,POINT (548672.3393900994 4134584.47477312),404
404,POINT (365701.44489969965 4068215.960987317),405
405,POINT (334070.4456996567 4147851.946877586),406
406,POINT (370729.4975722118 4068078.8663345766),407
407,POINT (240324.9846862794 3985289.2926316503),408
408,POINT (368656.78593421367 4114769.071075177),409
409,POINT (337860.6105169781 4147018.1831800947),410
410,POINT (350037.23296779767 4190823.5191795244),411
411,POINT (432448.93026907917 4103405.004395735),412
412,POINT (508181.9376093184 4143042.6470432216),413
413,POINT (211465.25085452173 4060930.119100886),414
414,POINT (331175.4708897347 4044246.6853662096),415
415,POINT (267038.532090146 4153080.8530003317),416
416,POINT (361322.1483744105 4064502.0500921113),417
417,POINT (233547.72330121117 4140585.1708274814),418
418,POINT (428202.42149978847 4200055.190523907),419
419,POINT (523274.2859137721 4150704.891448926),420
420,POINT (144290.01395824068 4093027.2483299472),421
421,POINT (217265.87210753033 4135380.6418467937),422
422,POINT (229341.96200276798 4068067.420902991),423
423,POINT (220070.95093571176 4131514.0187702347),424
424,POINT (366329.8750900735 4113878.2698399206),425
425,POINT (438023.5551659924 4115171.4136846247),426
426,POINT (496489.4757559624 4134344.587159003),427
427,POINT (427842.59449238644 4185514.398916524),428
428,POINT (325395.27033285855 4213876.901823929),429
429,POINT (350911.38896421995 4199678.18399118),430
430,POINT (274395.44635661156 4008596.2201010827),431
431,POINT (372533.90998048463 4239329.331780915),432
432,POINT (356773.1986593602 4195017.4699870935),433
433,POINT (606174.7264632478 4038189.100233948),434
434,POINT (220674.11130759786 4064022.7369050025),435
435,POINT (341794.88493014214 4204195.130109264),436
436,POINT (433178.5095601164 4122257.148100016),437
437,POINT (159782.1777847899 4123781.1806027233),438
438,POINT (569322.8117991531 4057605.3656828045),439
439,POINT (335189.07014364126 4147618.472192048),440
440,POINT (142458.30083870792 4091638.899861095),441
441,POINT (588989.1395357045 4046517.6803701078),442
442,POINT (254412.03214898234 4007149.1152738123),443
443,POINT (572817.3382160065 4138239.646345394),444
444,POINT (444823.4392704949 4212821.574112008),445
445,POINT (146061.5579657398 4140285.865846274),446
446,POINT (573567.284002907 4141223.0126331025),447
447,POINT (441980.00589383213 4096385.0110082324),448
448,POINT (140555.94527236256 4090197.007891449),449
449,POINT (188030.2531168 4126846.6242659986),450
450,POINT (466410.46641896555 4208611.27758784),451
451,POINT (468051.45287701505 4242693.892274707),452
452,POINT (258102.2798462536 4005550.3560048323),453
453,POINT (334890.0809876725 4209663.264133333),454
454,POINT (353641.6478919565 4188416.3672490586),455
455,POINT (357410.7071974078 4111508.4154048846),456
456,POINT (595357.1403098403 4113383.270702678),457
457,POINT (239867.07404888122 3984172.64018916),458
458,POINT (497397.8356647156 4228195.3731168015),459
459,POINT (353897.6241413853 4096443.5893267775),460
460,POINT (450202.117629727 4072652.030666226),461
461,POINT (427940.9171276816 4201771.439506614),462
462,POINT (152460.04731015884 4121883.947809879),463
463,POINT (331483.58657653205 4166661.4213284138),464
464,POINT (442782.63756433665 4120542.6633311026),465
465,POINT (433927.05752508785 4104245.204010646),466
466,POINT (354158.4243124105 4101431.401649369),467
467,POINT (236263.03534069544 4129870.887420064),468
468,POINT (340939.2628790707 4045098.3756887126),469
469,POINT (279071.70883871854 4009459.3003859585),470
470,POINT (140533.5147580698 4138435.5733999973),471
471,POINT (154185.27833600176 4120245.5636673183),472
472,POINT (440913.8084867158 4120947.9426212953),473
473,POINT (154849.8887988983 4135014.0502413106),474
474,POINT (329371.0459789495 4165196.0003953865),475
475,POINT (223494.25029339423 4061105.9742216645),476
476,POINT (142917.0783899664 4139417.5314146928),477
477,POINT (412475.48280179355 4173492.0655686893),478
478,POINT (365483.76274681423 4062883.3098172215),479
479,POINT (433843.33659155475 4133658.7514915303),480
480,POINT (248892.69174796913 4118613.353743554),481
481,POINT (229988.95579082792 4132987.2094818386),482
482,POINT (147381.80713509812 4140645.540805663),483
483,POINT (164252.6314295297 4123561.386913192),484
484,POINT (308829.81119614415 4035097.826325326),485
485,POINT (256849.9961792844 4086720.1051383996),486
486,POINT (411168.7035490943 4176773.432076969),487
487,POINT (352771.5781825419 4065058.186200491),488
488,POINT (468742.72352178226 4210665.376843412),489
489,POINT (351469.8957019374 4192022.6639205078),490
490,POINT (586568.8898278147 4101241.4864578876),491
491,POINT (144542.011922329 4139568.5574789396),492
492,POINT (356491.6320876841 4066549.517148988),493
493,POINT (236061.35931087943 4067312.568433487),494
494,POINT (218740.9973304617 4058003.4269218678),495
495,POINT (209801.4191725715 4061817.8183147386),496
496,POINT (348682.65418790525 4142773.713465344),497
497,POINT (486615.01712060283 4217922.663219947),498
498,POINT (367295.9743304624 4114313.3848975482),499
499,POINT (371103.97743995633 4235736.580884523),500
500,POINT (224594.39944378834 4131607.3718615626),501
501,POINT (346573.41745736613 4176029.891832542),502
502,POINT (349893.6397916208 4161320.0320768985),503
503,POINT (347112.26096846355 4142834.0256454186),504
504,POINT (236167.9560215908 4140188.02874694),505
505,POINT (278427.4750234584 4006205.077571885),506
506,POINT (498309.3308650588 4135485.2253193664),507
507,POINT (339670.40743783687 4205095.5171192475),508
508,POINT (328255.2169302168 4213746.717941853),509
509,POINT (489404.6998315922 4129157.3219576767),510
510,POINT (593449.2406081405 4143933.977848786),511
511,POINT (444613.65943911055 4117989.738278787),512
512,POINT (366683.62771943246 4197514.338285364),513
513,POINT (452488.2655791449 4224725.307679407),514
514,POINT (355718.3928237491 4192472.0419769264),515
515,POINT (135494.09728290763 4086360.376035301),516
516,POINT (347125.7581828237 4046794.086806969),517
517,POINT (573669.1481080453 4054868.7330244854),518
518,POINT (338606.4554200675 4170046.143671827),519
519,POINT (164952.10352551605 4114760.800729299),520
520,POINT (213135.97823015595 4059055.9207465383),521
521,POINT (588763.117024571 4138750.8949703095),522
522,POINT (579840.2995759195 4139302.805938232),523
523,POINT (163412.13549935573 4117775.4911606675),524
524,POINT (239150.08981175243 4137170.392541507),525
525,POINT (342787.871297731 4192206.8869146444),526
526,POINT (336073.25292464887 4128945.275178159),527
527,POINT (352139.48533722706 4153766.4836660093),528
528,POINT (365938.1747840895 4212527.045104087),529
529,POINT (228053.69718495503 4067457.961717657),530
530,POINT (213117.34642227783 4057064.9947390663),531
531,POINT (280109.9697386509 4111331.0969874896),532
532,POINT (610981.6085664314 4035859.560779158),533
533,POINT (368223.2918157154 4060019.617172219),534
534,POINT (493203.600711937 4220559.357241067),535
535,POINT (357975.3339842544 4065026.083237241),536
536,POINT (149314.5169119472 4098847.49787922),537
537,POINT (118978.54096613706 4130956.461543972),538
538,POINT (346646.5970679151 4159493.0107992147),539
539,POINT (245424.2472586042 4136970.14980368),540
540,POINT (496261.8880208274 4228274.168429857),541
541,POINT (151543.67633351873 4138514.041227733),542
542,POINT (306171.10527616314 4229901.397819422),543
543,POINT (478637.70714351744 4213785.961302321),544
544,POINT (494700.2031254577 4221097.033278576),545
545,POINT (231867.50101785653 3963074.907044426),546
546,POINT (445522.9630147834 4218248.17454701),547
